left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
4.48638,3.24668,19.1307,-0.333318,1.00826,-0.525819,4.67906,-3.89795,15.0245,0.577649,0.844964,0.751466,1.52
4.48109,3.25896,19.1244,-0.33666,1.00381,-0.529229,4.67592,-3.90877,15.0247,0.579967,0.844576,0.749249,1.53
4.5021,3.26296,19.0898,-0.335263,1.00517,-0.527684,4.67308,-3.92374,15.0237,0.582789,0.8447,0.752203,1.54
4.52079,3.24611,19.0528,-0.332877,1.00628,-0.526432,4.66938,-3.92834,15.0233,0.583649,0.844695,0.752772,1.55
4.48268,3.23651,19.102,-0.329996,1.00854,-0.526968,4.66605,-3.93249,15.023,0.584421,0.844692,0.753286,1.56
4.47494,3.22961,19.1317,-0.327461,1.01136,-0.527878,4.71694,-3.92349,14.9862,0.585067,0.845902,0.751996,1.57
4.47082,3.24363,19.1253,-0.331386,1.0066,-0.531087,4.70784,-3.9232,14.9882,0.582162,0.845426,0.753829,1.58
4.49448,3.26547,19.0568,-0.335675,1.00073,-0.534514,4.72821,-3.93219,14.9909,0.584478,0.840386,0.75303,1.59
4.46083,3.26407,19.0722,-0.334605,0.995434,-0.532816,4.71901,-3.93596,14.9938,0.585169,0.840812,0.753517,1.6
4.45811,3.27462,19.0717,-0.337818,0.99227,-0.535527,4.71073,-3.93935,14.9965,0.585793,0.841195,0.753955,1.61
4.45466,3.27405,19.0711,-0.336591,0.988592,-0.534158,4.70323,-3.92095,14.9923,0.582615,0.840748,0.753008,1.62
4.45253,3.25698,19.0655,-0.335408,0.98483,-0.530291,4.67009,-3.90245,15.004,0.579686,0.839516,0.751728,1.63
4.44845,3.2543,19.0649,-0.333376,0.982239,-0.532215,4.71849,-3.90811,14.9731,0.577464,0.841335,0.754429,1.64
4.44664,3.26456,19.0174,-0.335908,0.977915,-0.532966,4.70815,-3.90443,14.9751,0.57178,0.840967,0.757264,1.65
4.41779,3.26324,19.0368,-0.334817,0.974898,-0.531422,4.70097,-3.91096,14.9796,0.573744,0.841336,0.757325,1.66
4.41835,3.26378,19.0397,-0.333891,0.972957,-0.53046,4.74739,-3.92071,14.9524,0.575658,0.843323,0.758221,1.67
4.41989,3.27435,19.0425,-0.337176,0.97204,-0.533405,4.7881,-3.92457,14.9265,0.573842,0.844758,0.760272,1.68
4.41845,3.26365,19.0781,-0.333924,0.978504,-0.533668,4.82576,-3.93294,14.9046,0.575741,0.846402,0.760875,1.69
4.41777,3.26029,19.0762,-0.33204,0.976546,-0.535253,4.80576,-3.93173,14.9148,0.573768,0.845874,0.761822,1.7
4.41717,3.25727,19.0745,-0.330346,0.974783,-0.536678,4.78773,-3.9306,14.924,0.571993,0.845403,0.762671,1.71
4.44507,3.26898,19.0115,-0.333241,0.971982,-0.537411,4.82437,-3.93342,14.9011,0.570542,0.846633,0.764274,1.72
4.44291,3.26898,19.017,-0.33247,0.970333,-0.535855,4.80552,-3.93705,14.913,0.572626,0.846436,0.763636,1.73
4.44096,3.26897,19.0218,-0.331782,0.968848,-0.53445,4.78753,-3.93542,14.9224,0.570961,0.845907,0.764309,1.74
4.41471,3.28249,19.0424,-0.338883,0.96794,-0.535479,4.82533,-3.94144,14.9002,0.570554,0.846732,0.762895,1.75
4.41537,3.26066,19.0389,-0.336424,0.966588,-0.534246,4.85924,-3.94812,14.881,0.57278,0.848181,0.763237,1.76
4.415,3.25759,19.0409,-0.334291,0.965824,-0.535772,4.88904,-3.95552,14.8277,0.572304,0.841416,0.766102,1.77
4.41569,3.26489,19.0429,-0.336489,0.965964,-0.540956,4.86376,-3.95697,14.847,0.574215,0.84174,0.765281,1.78
4.41629,3.27144,19.0447,-0.338466,0.966092,-0.545619,4.83994,-3.95336,14.863,0.572394,0.841679,0.765788,1.79
4.39145,3.27952,19.0615,-0.341235,0.965088,-0.546623,4.8175,-3.94518,14.876,0.56722,0.841272,0.767486,1.8
4.39562,3.26191,19.0569,-0.339585,0.963678,-0.541512,4.79935,-3.92618,14.8838,0.565903,0.840818,0.765182,1.81
4.39938,3.24605,19.0527,-0.338103,0.962409,-0.536909,4.78315,-3.92926,14.8967,0.565861,0.840492,0.762834,1.82
4.40063,3.24446,19.0533,-0.335804,0.962058,-0.538169,4.76843,-3.93331,14.9091,0.568411,0.840909,0.76234,1.83
4.40391,3.25697,19.0547,-0.338895,0.962232,-0.540346,4.78122,-3.93133,14.9535,0.570101,0.844397,0.762235,1.84
4.4067,3.26567,19.0076,-0.338259,0.959193,-0.53861,4.76889,-3.92228,14.9556,0.572974,0.843625,0.756353,1.85
4.40836,3.26599,19.0134,-0.336985,0.958823,-0.536933,4.73021,-3.90856,14.9724,0.574541,0.842462,0.7535,1.86
4.41089,3.27147,19.0201,-0.339507,0.958863,-0.534327,4.69399,-3.9052,15.0418,0.575475,0.844137,0.753436,1.87
4.4132,3.2764,19.026,-0.341776,0.958899,-0.531983,4.68821,-3.91163,15.0397,0.577067,0.844189,0.753879,1.88
4.41426,3.27565,19.03,-0.340156,0.958557,-0.530965,4.73619,-3.90615,14.9653,0.575966,0.837379,0.755091,1.89
4.44261,3.28421,18.9708,-0.339453,0.95666,-0.53059,4.77907,-3.91635,14.9395,0.577657,0.839763,0.756209,1.9
4.44069,3.28267,18.9803,-0.338063,0.956543,-0.529712,4.76375,-3.91679,14.9462,0.575496,0.839899,0.757621,1.91
4.46837,3.27918,18.9224,-0.34115,0.954772,-0.525741,4.75099,-3.92211,14.9536,0.577084,0.840373,0.75765,1.92
4.49124,3.28737,18.8739,-0.340346,0.953253,-0.525889,4.73948,-3.92687,14.9603,0.578513,0.840803,0.757675,1.93
