left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
-1.35191,2.70043,7.34962,0.807601,0.669618,-1.37648,0.382628,-4.17183,6.34693,-0.926614,1.47037,0.276314,1.15
-1.3431,2.53451,7.30164,0.806895,0.665109,-1.34957,0.414205,-4.16062,6.30762,-0.848996,1.47743,0.278825,1.16
-1.36385,2.65908,7.34071,0.819344,0.672587,-1.40322,0.123603,-4.23979,6.97701,-0.857572,1.49812,0.299375,1.17
-1.34317,2.53455,7.30167,0.806945,0.66508,-1.34956,0.380866,-4.18489,6.35509,-0.900476,1.47783,0.293425,1.18
-1.35197,2.70037,7.34946,0.807681,0.669625,-1.37646,0.403634,-4.05901,6.31283,-0.889452,1.47061,0.239759,1.19
-1.3431,2.53449,7.30176,0.806917,0.665091,-1.34956,0.392996,-4.27345,6.34184,-0.886224,1.47716,0.31537,1.2
-1.343,2.53439,7.30167,0.806933,0.665113,-1.34954,0.122563,-4.02118,6.91144,-0.894773,1.48922,0.283045,1.21
-1.35297,2.48014,7.28432,0.844761,0.660604,-1.35852,0.11253,-4.187,6.9612,-0.89475,1.49355,0.309489,1.22
-1.34224,2.80226,7.34194,0.768437,0.675434,-1.41645,0.380908,-4.1849,6.35515,-0.900458,1.47784,0.293437,1.23
-1.34306,2.53437,7.30173,0.806952,0.665126,-1.34952,0.36984,-4.132,6.33934,-0.937696,1.47326,0.303539,1.24
-1.62606,2.69978,7.93676,0.802282,0.685064,-1.39281,0.112919,-4.13824,6.98233,-0.898021,1.49128,0.260323,1.25
-1.34195,2.7546,7.36694,0.769816,0.674151,-1.36746,0.122665,-4.02131,6.91132,-0.894757,1.48924,0.283074,1.26
-1.33322,2.63634,7.29402,0.767683,0.670917,-1.38955,0.403929,-4.32628,6.35763,-0.849084,1.48171,0.305251,1.27
-1.33343,2.63626,7.29389,0.767762,0.670926,-1.3895,0.133421,-4.07412,6.92717,-0.857656,1.49373,0.272942,1.28
-1.3421,2.80217,7.34177,0.768474,0.675456,-1.41642,-0.155048,-3.90467,7.05611,-0.935904,1.47487,0.239104,1.29
-1.63813,2.61114,7.95329,0.815407,0.686647,-1.37057,0.404042,-4.3262,6.3577,-0.849042,1.48174,0.305244,1.3
-1.60744,2.58823,7.9068,0.76368,0.685026,-1.35692,0.123509,-4.23988,6.97704,-0.857613,1.49808,0.299394,1.31
-1.33327,2.58878,7.31918,0.769138,0.669586,-1.34052,0.390719,-4.01928,6.3053,-0.900533,1.47348,0.267005,1.32
-1.34201,2.75447,7.36695,0.769912,0.674153,-1.3674,0.393326,-4.22472,6.36288,-0.88956,1.47483,0.266213,1.33
-1.36453,2.64225,7.68376,0.816657,0.748186,-1.36395,0.403282,-4.05892,6.31321,-0.889544,1.47053,0.239754,1.34
-1.34304,2.53434,7.30182,0.806988,0.665127,-1.34947,0.113097,-4.21866,6.47388,-0.897954,1.47255,0.337704,1.35
-1.35791,2.53715,7.61957,0.788321,0.75238,-1.40385,0.13672,-4.31135,6.49729,-0.849774,1.47419,0.300355,1.36
-1.3557,2.47636,7.63614,0.815881,0.743649,-1.33706,0.403022,-4.10761,6.29199,-0.886269,1.47283,0.28892,1.37
-1.64165,2.38728,8.2399,0.823486,0.760661,-1.33126,0.403349,-4.05904,6.31296,-0.889547,1.47053,0.239771,1.38
-1.34574,2.53085,7.65363,0.777979,0.748132,-1.32813,0.112811,-4.13813,6.98245,-0.898066,1.49123,0.260301,1.39
-1.35578,2.47649,7.63597,0.815924,0.743613,-1.33707,0.369688,-4.13203,6.33945,-0.937703,1.47324,0.303542,1.4
-1.35561,2.47633,7.63598,0.815892,0.743662,-1.33704,0.136876,-4.31137,6.49721,-0.849735,1.4742,0.300374,1.41
-1.35573,2.47644,7.63604,0.815901,0.74364,-1.33705,0.402973,-4.10773,6.29193,-0.886266,1.47281,0.288933,1.42
-1.35571,2.4764,7.63613,0.815889,0.743642,-1.33706,0.403971,-4.32631,6.35768,-0.849054,1.48172,0.305267,1.43
-1.35486,2.74428,7.67624,0.777405,0.753962,-1.40398,0.103157,-4.0799,7.32094,-0.908576,1.56934,0.247921,1.44
-1.63194,2.48921,8.23226,0.784277,0.766477,-1.37126,0.393221,-4.22462,6.36304,-0.889538,1.47487,0.266169,1.45
-1.34597,2.57834,7.62843,0.776651,0.749446,-1.37708,0.101881,-4.08527,6.96654,-0.935238,1.48667,0.270407,1.46
-1.65052,2.55299,8.2877,0.824277,0.765228,-1.35812,0.39331,-4.22465,6.363,-0.889524,1.47487,0.266192,1.47
-1.35556,2.47643,7.63608,0.815827,0.743663,-1.33707,0.112924,-4.13813,6.98244,-0.898039,1.49126,0.260308,1.48
-1.35187,2.70025,7.34937,0.807777,0.669634,-1.37637,0.123438,-4.2398,6.97711,-0.857609,1.49807,0.299363,1.49
-1.35578,2.47646,7.63612,0.815905,0.743624,-1.33705,0.122941,-3.97256,6.93247,-0.898075,1.48692,0.233907,1.5
-1.36459,2.64235,7.68398,0.816639,0.748157,-1.36396,0.413993,-4.16056,6.30784,-0.849071,1.47741,0.278826,1.51
-1.34584,2.57837,7.62825,0.776642,0.749453,-1.37708,0.123392,-4.23987,6.97717,-0.857618,1.49806,0.299385,1.52
-1.35567,2.47641,7.63606,0.8159,0.743645,-1.33705,0.403919,-4.32632,6.35776,-0.849074,1.4817,0.305269,1.53
-1.35567,2.47641,7.63606,0.815905,0.743644,-1.33705,0.112712,-4.13813,6.98252,-0.898074,1.49124,0.260286,1.54
-1.65061,2.55314,8.28771,0.824282,0.765201,-1.35812,0.393313,-4.22459,6.36301,-0.889505,1.47489,0.266168,1.55
-1.35487,2.74431,7.67643,0.777402,0.753955,-1.40397,0.112942,-4.13818,6.98243,-0.898033,1.49126,0.260318,1.56
-1.36467,2.64236,7.68389,0.816688,0.748154,-1.36394,0.112587,-4.18692,6.96129,-0.894762,1.49353,0.309489,1.57
-1.34605,2.5786,7.62845,0.77666,0.749402,-1.37708,0.122611,-4.02115,6.91138,-0.894788,1.48921,0.283042,1.58
-1.35494,2.74441,7.67634,0.777395,0.75394,-1.40398,0.112926,-4.13811,6.98234,-0.898056,1.49124,0.260296,1.59
-1.34483,2.79865,7.69376,0.739519,0.758466,-1.39502,0.100209,-4.09832,6.97476,-0.909085,1.49415,0.287533,1.6
-1.64174,2.38733,8.24004,0.823527,0.760651,-1.33123,0.122596,-4.02126,6.91136,-0.894782,1.4892,0.283056,1.61
-1.34586,2.57856,7.62841,0.77662,0.749407,-1.37711,0.133577,-4.07412,6.92719,-0.857613,1.49376,0.272953,1.62
-1.33593,2.63282,7.64583,0.738743,0.753932,-1.36814,0.36975,-4.13195,6.33955,-0.937685,1.47325,0.303534,1.63
-1.36672,2.65571,7.69254,0.790491,0.755547,-1.38177,0.403944,-4.3263,6.35784,-0.849054,1.48171,0.305275,1.64
-1.36463,2.64248,7.68381,0.816685,0.74812,-1.36396,0.380869,-4.19642,7.17621,-0.867446,1.58369,0.291882,1.65
