left_arm_positions.q_1,left_arm_positions.q_2,left_arm_positions.q_3,left_arm_positions.q_4,left_arm_positions.q_5,left_arm_positions.q_6,left_arm_positions.q_7,right_arm_positions.q_1,right_arm_positions.q_2,right_arm_positions.q_3,right_arm_positions.q_4,right_arm_positions.q_5,right_arm_positions.q_6,right_arm_positions.q_7,waist_position.q_w,time.t
-0.0220041,0.201378,-0.114259,0.422697,-0.0923064,0.350476,-0.141633,-0.0129705,-0.19767,0.127894,0.44275,0.0829709,0.353196,0.162222,0.000562483,1.02
-0.0220041,0.201369,-0.114245,0.422697,-0.0923064,0.350488,-0.141645,-0.012962,-0.197662,0.127908,0.442732,0.0829589,0.353196,0.162222,0.000562483,1.03
-0.0220299,0.20136,-0.114245,0.422697,-0.0923064,0.350476,-0.141621,-0.0129705,-0.197653,0.127881,0.442741,0.0829709,0.353208,0.162222,0.00058805,1.04
-0.0220127,0.20136,-0.114245,0.422697,-0.0923064,0.350464,-0.141609,-0.0129705,-0.197662,0.127908,0.442732,0.0829828,0.353196,0.162222,0.00058805,1.05
-0.0220299,0.20136,-0.114219,0.422697,-0.0923064,0.35044,-0.141621,-0.012962,-0.19767,0.127894,0.442758,0.0829828,0.353196,0.162222,0.00058805,1.06
-0.0220127,0.201369,-0.114245,0.422705,-0.0923064,0.350452,-0.141621,-0.0129534,-0.19767,0.127894,0.442741,0.0829828,0.353196,0.162222,0.000562483,1.07
-0.0220213,0.201369,-0.114219,0.422697,-0.0923064,0.350452,-0.141621,-0.012979,-0.19767,0.127881,0.442758,0.0829589,0.353208,0.16221,0.000562483,1.08
-0.0220127,0.201369,-0.114245,0.422714,-0.0923064,0.350452,-0.141633,-0.0129705,-0.197653,0.127894,0.442758,0.0829828,0.353208,0.162222,0.000562483,1.09
-0.0220041,0.20136,-0.114259,0.422714,-0.0923064,0.35044,-0.141609,-0.0129875,-0.197645,0.127894,0.442758,0.0829589,0.353196,0.162222,0.00058805,1.1
-0.0220127,0.201335,-0.114259,0.422697,-0.0922945,0.35044,-0.141609,-0.012962,-0.197662,0.127867,0.44275,0.0829589,0.353208,0.162222,0.000562483,1.11
-0.0220127,0.201335,-0.114245,0.422705,-0.0923064,0.350428,-0.141621,-0.012979,-0.197662,0.127894,0.442767,0.0829589,0.353184,0.16221,0.00058805,1.12
-0.0220127,0.201335,-0.114205,0.422723,-0.0922945,0.350428,-0.141633,-0.012979,-0.197653,0.127908,0.44275,0.0829589,0.353208,0.162222,0.00058805,1.13
-0.0219955,0.201335,-0.114245,0.422697,-0.0923064,0.350428,-0.141621,-0.012979,-0.197653,0.127908,0.442741,0.0829709,0.353208,0.162222,0.00058805,1.14
-0.0220041,0.201335,-0.114245,0.422731,-0.0923185,0.350416,-0.141609,-0.012962,-0.197653,0.127894,0.44275,0.0829709,0.353208,0.162222,0.000562483,1.15
-0.0220213,0.201335,-0.114232,0.422705,-0.0922945,0.350428,-0.141609,-0.0129705,-0.197662,0.127881,0.442767,0.0829709,0.353208,0.162222,0.00058805,1.16
-0.0220041,0.201343,-0.114245,0.422705,-0.0923064,0.350404,-0.141609,-0.0129705,-0.19767,0.127894,0.442741,0.0829709,0.353196,0.162222,0.000562483,1.17
-0.0220127,0.201326,-0.114259,0.422688,-0.0922945,0.350404,-0.141609,-0.0129705,-0.197662,0.127894,0.442741,0.0829589,0.353208,0.162222,0.00058805,1.18
-0.0220127,0.201335,-0.114245,0.422697,-0.0923064,0.350404,-0.141609,-0.0129705,-0.197653,0.127881,0.442767,0.0829709,0.353184,0.162222,0.00058805,1.19
-0.0220041,0.201335,-0.114259,0.422705,-0.0923064,0.350392,-0.141609,-0.012979,-0.197653,0.127921,0.44275,0.0829709,0.353208,0.162222,0.00058805,1.2
-0.0219955,0.201335,-0.114245,0.422697,-0.0923064,0.350368,-0.141597,-0.0129705,-0.19767,0.127921,0.44275,0.0829709,0.353208,0.162222,0.00058805,1.21
-0.0219955,0.201335,-0.114245,0.422723,-0.0923064,0.350392,-0.141609,-0.0129875,-0.197653,0.127908,0.44275,0.0829709,0.353208,0.16221,0.000562483,1.22
